City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
218,Ohara,JP,35.25,140.3833,75.2,91,100,15.99,overcast clouds
219,Broken Hill,AU,-31.95,141.4333,44.17,82,67,8.86,broken clouds
220,Truckee,US,39.328,-120.1833,67.15,55,0,1.99,clear sky
221,Clinton,US,42.587,-82.9199,76.28,51,40,12.66,scattered clouds
222,Souillac,MU,-20.5167,57.5167,70.18,68,40,17.27,light rain
223,Kahului,US,20.8947,-156.47,75.85,79,75,10.36,broken clouds
224,Galeana,MX,24.8333,-100.0667,73.53,47,18,5.17,few clouds
225,Taltal,CL,-25.4,-70.4833,61.21,74,67,4.97,broken clouds
226,Kalmunai,LK,7.4167,81.8167,85.93,58,100,5.7,overcast clouds
227,Xinyang,CN,32.1228,114.0656,82.51,88,28,6.33,scattered clouds
228,Mahebourg,MU,-20.4081,57.7,70.09,68,40,17.27,scattered clouds
229,Nanortalik,GL,60.1432,-45.2371,43.56,91,100,2.46,overcast clouds
230,Flinders,AU,-34.5833,150.8552,52.18,87,83,5.99,moderate rain
231,Pevek,RU,69.7008,170.3133,32.58,96,100,8.97,light snow
232,Constitucion,CL,-35.3333,-72.4167,51.42,93,100,17.67,light rain
233,Aden,YE,12.7794,45.0367,87.58,66,100,11.92,overcast clouds
234,Nantucket,US,41.2835,-70.0995,75.34,64,0,17.27,clear sky
235,Andenes,NO,69.3143,16.1194,55.38,76,75,6.91,broken clouds
236,Port Alfred,ZA,-33.5906,26.891,77.18,26,0,9.1,clear sky
237,Parkes,AU,-33.1333,148.1833,35.35,79,6,4.94,clear sky
238,Yeppoon,AU,-23.1333,150.7333,46.18,65,0,7.78,clear sky
239,Filotion,GR,37.05,25.5,73.9,63,20,9.22,few clouds
240,Luwuk,ID,-0.9516,122.7875,76.03,91,99,4.09,overcast clouds
241,Tautira,PF,-17.7333,-149.15,76.15,76,92,19.19,light rain
242,Vila Velha,BR,-20.3297,-40.2925,76.95,78,75,6.91,broken clouds
243,Bonthe,SL,7.5264,-12.505,80.46,77,63,11.56,light rain
244,Rijssen,NL,52.308,6.5211,73.44,60,98,5.99,overcast clouds
245,Temiscaming,CA,46.7212,-79.0971,65.71,52,6,4.61,clear sky
246,Urusha,RU,54.05,122.9,58.75,96,76,3.33,light rain
247,Severo-Kurilsk,RU,50.6789,156.125,54.46,88,100,11.27,overcast clouds
248,Darhan,MN,49.4867,105.9228,61.97,65,99,2.19,overcast clouds
249,Monchique,PT,37.3177,-8.5553,82.15,24,0,9.35,clear sky
250,Karratha,AU,-20.7377,116.8463,64.85,46,5,4.97,clear sky
251,Ruy Barbosa,BR,-12.2839,-40.4939,77.52,56,77,8.43,broken clouds
252,Norman Wells,CA,65.282,-126.8329,62.64,67,100,4.61,smoke
253,Cabedelo,BR,-6.9811,-34.8339,83.07,69,9,14.58,clear sky
254,Male,MV,4.1748,73.5089,82.35,83,75,16.11,broken clouds
255,Coahuayana,MX,18.7333,-103.6833,81.55,76,66,1.97,broken clouds
256,Ouagadougou,BF,12.3642,-1.5383,89.73,62,40,10.36,scattered clouds
257,Yantongshan,CN,43.2919,126.0094,66.31,86,4,4.07,clear sky
258,Gillette,US,44.2911,-105.5022,78.12,54,0,10.36,clear sky
259,Matara,LK,5.9485,80.5353,80.1,81,100,15.26,overcast clouds
260,Zeya,RU,53.75,127.2667,63.95,96,100,5.73,light rain
261,Denpasar,ID,-8.65,115.2167,80.26,83,40,13.8,scattered clouds
262,Rocha,UY,-34.4833,-54.3333,61.07,90,98,18.23,overcast clouds
263,Santo Tomas,PH,14.1079,121.1414,83.55,95,71,3.31,broken clouds
264,Georgetown,MY,5.4112,100.3354,84.15,76,20,0.0,few clouds
265,Kaitangata,NZ,-46.2817,169.8464,34.5,84,76,3.94,broken clouds
266,Ust-Nera,RU,64.5667,143.2,50.68,76,78,0.72,broken clouds
267,Vicuna,CL,-30.0319,-70.7081,49.73,64,0,7.74,clear sky
268,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,68.59,94,0,4.47,clear sky
269,Tilichiki,RU,60.4667,166.1,51.89,94,100,3.11,overcast clouds
270,Hambantota,LK,6.1241,81.1185,80.94,78,20,3.44,few clouds
271,Marystown,CA,47.1666,-55.1483,66.85,100,75,3.0,broken clouds
272,Bacungan,PH,9.9106,118.7022,78.85,94,75,6.91,broken clouds
273,Maceio,BR,-9.6658,-35.7353,74.64,88,100,5.75,mist
274,Shitanjing,CN,39.2342,106.3439,67.8,49,5,10.07,clear sky
275,Oudtshoorn,ZA,-33.5907,22.2014,61.16,28,2,14.05,clear sky
276,Inuvik,CA,68.3499,-133.7218,54.36,100,100,3.44,mist
277,Juneau,US,58.3019,-134.4197,57.85,97,100,8.05,overcast clouds
278,Kedrovyy,RU,56.1667,91.8167,59.41,75,96,1.95,overcast clouds
279,Soyo,AO,-6.1349,12.3689,73.63,75,100,11.61,overcast clouds
280,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,82.2,78,40,2.3,scattered clouds
281,Doume,CM,4.2333,13.45,72.14,94,97,3.22,moderate rain
282,Taoudenni,ML,22.6783,-3.9836,115.68,5,0,13.11,clear sky
283,Arlit,NE,18.7369,7.3853,106.77,8,24,3.85,few clouds
284,Vao,NC,-22.6667,167.4833,74.52,86,1,11.41,clear sky
285,Sistranda,NO,63.7256,8.834,51.76,85,100,19.89,overcast clouds
286,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,71,15,11.61,few clouds
287,Palana,RU,59.1167,159.9667,51.53,97,100,11.48,overcast clouds
288,Gamba,GA,-2.65,10.0,74.35,68,97,10.16,overcast clouds
289,Lishui,CN,28.4604,119.9103,79.7,91,95,1.63,overcast clouds
290,Waw,SS,7.7029,27.9953,72.72,91,100,1.41,overcast clouds
291,Itoman,JP,26.1247,127.6694,84.58,89,100,8.05,overcast clouds
292,Mbandaka,CD,0.0487,18.2603,83.89,48,90,1.97,overcast clouds
293,Trairi,BR,-3.2778,-39.2689,85.15,51,70,13.96,broken clouds
294,Conde,BR,-7.2597,-34.9075,81.86,69,75,17.27,broken clouds
295,Aurora,US,39.7294,-104.8319,88.11,37,20,11.5,few clouds
296,Olinda,BR,-8.0089,-34.8553,82.13,65,40,16.11,scattered clouds
297,Jiaonan,CN,35.8786,119.9753,76.53,84,72,5.35,broken clouds
298,Bijie,CN,27.3125,105.2942,65.48,95,3,5.97,clear sky
299,Nemuro,JP,43.3236,145.575,57.02,97,99,11.9,overcast clouds
300,Inhambane,MZ,-23.865,35.3833,71.58,68,40,12.66,scattered clouds
301,Tiksi,RU,71.6872,128.8694,49.73,59,59,10.87,broken clouds
302,Brus Laguna,HN,15.75,-84.4833,82.6,80,15,6.35,few clouds
303,Ostrovnoy,RU,68.0531,39.5131,49.86,84,84,9.35,broken clouds
304,Roma,US,43.2128,-75.4557,74.08,51,0,3.44,clear sky
305,Abeche,TD,13.8292,20.8324,95.02,25,0,13.8,clear sky
306,Aklavik,CA,68.2191,-135.0107,57.2,94,100,13.8,haze
307,Namatanai,PG,-3.6667,152.4333,76.98,74,10,7.83,clear sky
308,Port Shepstone,ZA,-30.7414,30.455,69.15,81,0,19.15,clear sky
309,Laguna,US,38.421,-121.4238,71.01,75,0,10.36,clear sky
310,Beroroha,MG,-21.6667,45.1667,71.56,41,0,14.03,clear sky
311,Haverfordwest,GB,51.8017,-4.9691,72.99,67,4,5.99,clear sky
312,Raudeberg,NO,61.9875,5.1352,52.47,84,100,16.98,overcast clouds
313,Fereydun Kenar,IR,36.6864,52.5225,77.86,61,25,3.36,scattered clouds
314,Uray,RU,60.1247,64.7758,75.54,62,9,5.5,clear sky
315,Gazanjyk,TM,39.2446,55.5154,90.34,13,0,12.5,clear sky
316,Castro,BR,-24.7911,-50.0119,72.23,44,40,6.04,scattered clouds
317,Cockburn Town,TC,21.4612,-71.1419,81.91,78,100,19.44,overcast clouds
318,Poya,NC,-21.35,165.15,73.74,90,4,5.44,clear sky
319,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,86.83,23,2,8.28,clear sky
320,Bossangoa,CF,6.4926,17.4552,81.12,69,99,3.91,overcast clouds
321,Half Moon Bay,US,37.4636,-122.4286,67.53,85,100,8.05,overcast clouds
322,Karasburg,NA,-28.0167,18.75,61.59,29,2,18.34,clear sky
323,College,US,64.8569,-147.8028,70.2,70,75,0.0,smoke
324,Mpraeso,GH,6.5932,-0.7346,71.91,90,99,7.31,light rain
325,Lumut,MY,4.2323,100.6298,82.42,83,20,0.0,few clouds
326,West Wendover,US,40.7391,-114.0733,81.61,10,0,5.75,clear sky
327,Port-Gentil,GA,-0.7193,8.7815,78.76,69,20,17.27,few clouds
328,Atar,MR,20.5169,-13.0499,107.55,16,26,13.6,scattered clouds
329,Port Lincoln,AU,-34.7333,135.8667,50.95,76,0,9.93,clear sky
330,Tutoia,BR,-2.7619,-42.2744,86.45,57,100,3.87,overcast clouds
331,Alta Floresta,BR,-9.8756,-56.0861,94.82,36,0,12.66,clear sky
332,Borovoy,RU,55.4333,86.0833,70.88,56,0,8.95,clear sky
333,Kumeny,RU,58.1089,49.9161,70.52,80,79,2.84,broken clouds
334,Yangambi,CD,0.8102,24.4336,85.73,38,52,2.01,broken clouds
335,Baherden,TM,38.4362,57.4316,89.42,15,0,6.35,clear sky
336,Upernavik,GL,72.7868,-56.1549,39.49,82,3,9.82,clear sky
337,Acarau,BR,-2.8856,-40.12,86.04,54,84,14.41,broken clouds
338,Aqtobe,KZ,50.2797,57.2072,80.69,41,0,6.71,clear sky
339,Oistins,BB,13.0667,-59.5333,86.09,79,40,24.16,scattered clouds
